Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","S2905","Cereals - Excluding Beer","2022","2022","kg/cap","88.17","E","Estimated value",""
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","S2909","Sugar & Sweeteners","2022","2022","kg/cap","46.11","E","Estimated value",""
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","S2914","Vegetable Oils","2022","2022","kg/cap","10.36","E","Estimated value",""
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","S2919","Fruits - Excluding Wine","2022","2022","kg/cap","235.9","E","Estimated value",""
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","S2924","Alcoholic Beverages","2022","2022","kg/cap","52.54","E","Estimated value",""
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2022","2022","kg/cap","94.66","E","Estimated value",""
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","S2946","Animal fats","2022","2022","kg/cap","3.31","E","Estimated value",""
"FBS","Food Balances (2010-)","028","Antigua and Barbuda","645","Food supply quantity (kg/capita/yr)","S2948","Milk - Excluding Butter","2022","2022","kg/cap","103.04","E","Estimated value",""
"FBS","Food Balances (2010-)","032","Argentina","645","Food supply quantity (kg/capita/yr)","S2905","Cereals - Excluding Beer","2022","2022","kg/cap","145.94","E","Estimated value",""
"FBS","Food Balances (2010-)","032","Argentina","645","Food supply quantity (kg/capita/yr)","S2909","Sugar & Sweeteners","2022","2022","kg/cap","36.34","E","Estimated value",""
"FBS","Food Balances (2010-)","032","Argentina","645","Food supply quantity (kg/capita/yr)","S2914","Vegetable Oils","2022","2022","kg/cap","17.9","E","Estimated value",""
"FBS","Food Balances (2010-)","032","Argentina","645","Food supply quantity (kg/capita/yr)","S2919","Fruits - Excluding Wine","2022","2022","kg/cap","77.98","E","Estimated value",""
"FBS","Food Balances (2010-)","032","Argentina","645","Food supply quantity (kg/capita/yr)","S2924","Alcoholic Beverages","2022","2022","kg/cap","63.99","E","Estimated value",""
"FBS","Food Balances (2010-)","032","Argentina","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2022","2022","kg/cap","113.86","E","Estimated value",""
"FBS","Food Balances (2010-)","032","Argentina","645","Food supply quantity (kg/capita/yr)","S2946","Animal fats","2022","2022","kg/cap","5.8","E","Estimated value",""
"FBS","Food Balances (2010-)","032","Argentina","645","Food supply quantity (kg/capita/yr)","S2948","Milk - Excluding Butter","2022","2022","kg/cap","167","E","Estimated value",""
"FBS","Food Balances (2010-)","051","Armenia","645","Food supply quantity (kg/capita/yr)","S2905","Cereals - Excluding Beer","2022","2022","kg/cap","166.16","E","Estimated value",""
"FBS","Food Balances (2010-)","051","Armenia","645","Food supply quantity (kg/capita/yr)","S2909","Sugar & Sweeteners","2022","2022","kg/cap","50.09","E","Estimated value",""
"FBS","Food Balances (2010-)","051","Armenia","645","Food supply quantity (kg/capita/yr)","S2914","Vegetable Oils","2022","2022","kg/cap","10.5","E","Estimated value",""
"FBS","Food Balances (2010-)","051","Armenia","645","Food supply quantity (kg/capita/yr)","S2919","Fruits - Excluding Wine","2022","2022","kg/cap","115.76","E","Estimated value",""
"FBS","Food Balances (2010-)","051","Armenia","645","Food supply quantity (kg/capita/yr)","S2924","Alcoholic Beverages","2022","2022","kg/cap","13.73","E","Estimated value",""
"FBS","Food Balances (2010-)","051","Armenia","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2022","2022","kg/cap","57.53","E","Estimated value",""
"FBS","Food Balances (2010-)","051","Armenia","645","Food supply quantity (kg/capita/yr)","S2946","Animal fats","2022","2022","kg/cap","9.24","E","Estimated value",""
"FBS","Food Balances (2010-)","051","Armenia","645","Food supply quantity (kg/capita/yr)","S2948","Milk - Excluding Butter","2022","2022","kg/cap","223.18","E","Estimated value",""
"FBS","Food Balances (2010-)","036","Australia","645","Food supply quantity (kg/capita/yr)","S2905","Cereals - Excluding Beer","2022","2022","kg/cap","112.61","E","Estimated value",""
"FBS","Food Balances (2010-)","036","Australia","645","Food supply quantity (kg/capita/yr)","S2909","Sugar & Sweeteners","2022","2022","kg/cap","44.14","E","Estimated value",""
"FBS","Food Balances (2010-)","036","Australia","645","Food supply quantity (kg/capita/yr)","S2914","Vegetable Oils","2022","2022","kg/cap","25.11","E","Estimated value",""
"FBS","Food Balances (2010-)","036","Australia","645","Food supply quantity (kg/capita/yr)","S2919","Fruits - Excluding Wine","2022","2022","kg/cap","77.99","E","Estimated value",""
"FBS","Food Balances (2010-)","036","Australia","645","Food supply quantity (kg/capita/yr)","S2924","Alcoholic Beverages","2022","2022","kg/cap","108.93","E","Estimated value",""
"FBS","Food Balances (2010-)","036","Australia","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2022","2022","kg/cap","113.28","E","Estimated value",""
"FBS","Food Balances (2010-)","036","Australia","645","Food supply quantity (kg/capita/yr)","S2946","Animal fats","2022","2022","kg/cap","5.76","E","Estimated value",""
"FBS","Food Balances (2010-)","036","Australia","645","Food supply quantity (kg/capita/yr)","S2948","Milk - Excluding Butter","2022","2022","kg/cap","214.53","E","Estimated value",""
"FBS","Food Balances (2010-)","040","Austria","645","Food supply quantity (kg/capita/yr)","S2905","Cereals - Excluding Beer","2022","2022","kg/cap","120.86","E","Estimated value",""
"FBS","Food Balances (2010-)","040","Austria","645","Food supply quantity (kg/capita/yr)","S2909","Sugar & Sweeteners","2022","2022","kg/cap","37.64","E","Estimated value",""
"FBS","Food Balances (2010-)","040","Austria","645","Food supply quantity (kg/capita/yr)","S2914","Vegetable Oils","2022","2022","kg/cap","19.46","E","Estimated value",""
"FBS","Food Balances (2010-)","040","Austria","645","Food supply quantity (kg/capita/yr)","S2919","Fruits - Excluding Wine","2022","2022","kg/cap","132.73","E","Estimated value",""
"FBS","Food Balances (2010-)","040","Austria","645","Food supply quantity (kg/capita/yr)","S2924","Alcoholic Beverages","2022","2022","kg/cap","134.35","E","Estimated value",""
"FBS","Food Balances (2010-)","040","Austria","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2022","2022","kg/cap","76.09","E","Estimated value",""
"FBS","Food Balances (2010-)","040","Austria","645","Food supply quantity (kg/capita/yr)","S2946","Animal fats","2022","2022","kg/cap","24.29","E","Estimated value",""
"FBS","Food Balances (2010-)","040","Austria","645","Food supply quantity (kg/capita/yr)","S2948","Milk - Excluding Butter","2022","2022","kg/cap","212.25","E","Estimated value",""
"FBS","Food Balances (2010-)","031","Azerbaijan","645","Food supply quantity (kg/capita/yr)","S2905","Cereals - Excluding Beer","2022","2022","kg/cap","207.79","E","Estimated value",""
"FBS","Food Balances (2010-)","031","Azerbaijan","645","Food supply quantity (kg/capita/yr)","S2909","Sugar & Sweeteners","2022","2022","kg/cap","52.66","E","Estimated value",""
"FBS","Food Balances (2010-)","031","Azerbaijan","645","Food supply quantity (kg/capita/yr)","S2914","Vegetable Oils","2022","2022","kg/cap","11.67","E","Estimated value",""
"FBS","Food Balances (2010-)","031","Azerbaijan","645","Food supply quantity (kg/capita/yr)","S2919","Fruits - Excluding Wine","2022","2022","kg/cap","93.93","E","Estimated value",""
"FBS","Food Balances (2010-)","031","Azerbaijan","645","Food supply quantity (kg/capita/yr)","S2924","Alcoholic Beverages","2022","2022","kg/cap","16.85","E","Estimated value",""
"FBS","Food Balances (2010-)","031","Azerbaijan","645","Food supply quantity (kg/capita/yr)","S2943","Meat","2022","2022","kg/cap","40.06","E","Estimated value",""
"FBS","Food Balances (2010-)","031","Azerbaijan","645","Food supply quantity (kg/capita/yr)","S2946","Animal fats","2022","2022","kg/cap","7.98","E","Estimated value",""
"FBS","Food Balances (2010-)","031","Azerbaijan","645","Food supply quantity (kg/capita/yr)","S2948","Milk - Excluding Butter","2022","2022","kg/cap","168.52","E","Estimated value",""
"FBS","Food Balances (2010-)","044","Bahamas","645","Food supply quantity (kg/capita/yr)","S2905","Cereals - Excluding Beer","2022","2022","kg/cap","83.24","E","Estimated value",""
"FBS","Food Balances (2010-)","044","Bahamas","645","Food supply quantity (kg/capita/yr)","S2909","Sugar & Sweeteners","2022","2022","kg/cap","62.95","E","Estimated value",""
